Physician,Date,NewPrescription,Samples,Details,CompetitorNew,MedicalCPI,DRG,Psych
103,3,10,0,1,18,247.7,395.64,0
104,3,10,0,0,11,247.7,395.64,0
105,3,11,2,1,12,247.7,395.64,0
106,3,11,0,2,21,247.7,395.64,0
107,3,11,0,2,13,247.7,395.64,0
108,3,11,0,1,6,247.7,395.64,0
109,3,10,0,0,9,247.7,395.64,0
110,3,11,0,1,53,247.7,395.64,0
111,3,11,0,0,40,247.7,395.64,0
112,3,11,0,1,23,247.7,395.64,0
113,3,11,0,0,23,247.7,395.64,0
114,3,11,0,2,14,247.7,395.64,0
115,3,10,0,0,7,247.7,395.64,0
116,3,11,2,2,22,247.7,395.64,0
117,3,10,0,0,13,247.7,395.64,0
118,3,12,2,3,15,247.7,395.64,0
119,3,10,0,0,18,247.7,395.64,0
120,3,11,0,0,5,247.7,395.64,0
121,3,12,0,1,22,247.7,395.64,0
122,3,12,8,2,35,247.7,395.64,0
123,3,12,0,1,3,247.7,395.64,0
124,3,10,0,0,31,247.7,395.64,0
125,3,11,0,1,37,247.7,395.64,0
126,3,11,0,1,35,247.7,395.64,0
127,3,10,0,0,20,247.7,395.64,0
128,3,10,0,0,24,247.7,395.64,0
129,3,11,0,4,27,247.7,395.64,0
130,3,11,0,0,8,247.7,395.64,0
131,3,11,0,1,31,247.7,395.64,0
132,3,10,0,1,12,247.7,395.64,0
133,3,10,0,0,19,247.7,395.64,0
134,3,12,0,2,8,247.7,395.64,0
135,3,12,6,2,13,247.7,395.64,0
136,3,12,5,4,55,247.7,395.64,0
137,3,10,0,0,21,247.7,395.64,0
138,3,11,0,1,36,247.7,395.64,0
139,3,11,0,1,34,247.7,395.64,0
140,3,11,0,3,15,247.7,395.64,0
141,3,11,0,1,42,247.7,395.64,0
142,3,12,0,0,23,247.7,395.64,0
143,3,12,0,2,15,247.7,395.64,0
144,3,11,0,1,28,247.7,395.64,0
145,3,11,0,2,7,247.7,395.64,0
146,3,11,12,2,32,247.7,395.64,0
147,3,12,0,2,12,247.7,395.64,0
148,3,11,0,3,33,247.7,395.64,0
149,3,12,0,1,20,247.7,395.64,0
150,3,11,0,2,42,247.7,395.64,0
151,3,11,0,1,14,247.7,395.64,0
152,3,12,18,3,27,247.7,395.64,0
153,3,12,10,2,11,247.7,395.64,0
154,3,11,0,3,7,247.7,395.64,0
155,3,12,3,1,54,247.7,395.64,0
156,3,10,0,0,10,247.7,395.64,0
157,3,10,0,0,23,247.7,395.64,0
158,3,11,13,2,15,247.7,395.64,0
159,3,11,4,1,61,247.7,395.64,0
160,3,12,0,2,10,247.7,395.64,0
161,3,11,5,1,21,247.7,395.64,0
162,3,12,6,2,15,247.7,395.64,0
163,3,11,0,2,40,247.7,395.64,0
164,3,10,0,0,4,247.7,395.64,0
165,3,11,0,3,29,247.7,395.64,0
166,3,10,0,2,8,247.7,395.64,0
167,3,10,0,0,12,247.7,395.64,0
168,3,11,0,2,8,247.7,395.64,1
169,3,10,0,0,0,247.7,395.64,0
170,3,11,0,1,28,247.7,395.64,0
171,3,10,0,0,13,247.7,395.64,0
172,3,11,0,2,11,247.7,395.64,0
173,3,12,6,1,5,247.7,395.64,0
174,3,10,3,1,9,247.7,395.64,0
175,3,11,0,0,41,247.7,395.64,0
176,3,13,26,5,19,247.7,395.64,0
177,3,10,0,0,0,247.7,395.64,0
178,3,13,0,1,52,247.7,395.64,0
179,3,11,0,0,38,247.7,395.64,0
180,3,11,0,2,56,247.7,395.64,0
181,3,11,0,0,10,247.7,395.64,0
182,3,11,0,2,8,247.7,395.64,0
183,3,11,0,1,10,247.7,395.64,0
1,4,10,0,0,4,248.3,405.72,1
2,4,11,3,5,4,248.3,405.72,0
3,4,11,0,2,15,248.3,405.72,0
4,4,10,0,0,20,248.3,405.72,0
5,4,11,0,2,2,248.3,405.72,0
6,4,12,10,5,7,248.3,405.72,0
7,4,12,10,2,8,248.3,405.72,0
8,4,12,0,1,19,248.3,405.72,0
9,4,10,0,1,12,248.3,405.72,0
10,4,11,0,3,13,248.3,405.72,0
11,4,10,0,0,4,248.3,405.72,0
12,4,10,0,0,5,248.3,405.72,0
13,4,12,15,7,8,248.3,405.72,0
14,4,10,0,0,11,248.3,405.72,0
15,4,10,0,0,12,248.3,405.72,0
16,4,13,16,3,35,248.3,405.72,0
17,4,10,0,0,12,248.3,405.72,0
18,4,13,15,1,16,248.3,405.72,0
19,4,12,0,1,24,248.3,405.72,0
20,4,11,0,0,9,248.3,405.72,0
21,4,10,0,2,39,248.3,405.72,0
22,4,11,0,3,13,248.3,405.72,0
23,4,13,0,1,4,248.3,405.72,0
24,4,11,0,3,11,248.3,405.72,0
25,4,10,0,0,17,248.3,405.72,0
26,4,10,0,1,23,248.3,405.72,0
27,4,11,0,2,21,248.3,405.72,0
28,4,10,0,0,11,248.3,405.72,0
29,4,12,11,2,25,248.3,405.72,0
30,4,11,0,0,21,248.3,405.72,0
31,4,12,3,1,13,248.3,405.72,0
32,4,11,5,3,5,248.3,405.72,0
33,4,10,0,0,15,248.3,405.72,0
34,4,12,5,2,6,248.3,405.72,0
35,4,11,0,3,16,248.3,405.72,0
36,4,10,6,1,20,248.3,405.72,0
37,4,11,0,1,17,248.3,405.72,0
38,4,12,0,4,16,248.3,405.72,0
39,4,11,0,0,14,248.3,405.72,0
40,4,11,0,1,8,248.3,405.72,0
41,4,13,10,3,6,248.3,405.72,0
42,4,10,0,0,8,248.3,405.72,0
43,4,12,3,5,18,248.3,405.72,0
44,4,11,0,1,26,248.3,405.72,0
45,4,10,0,0,16,248.3,405.72,0
46,4,11,0,1,41,248.3,405.72,0
47,4,10,0,0,46,248.3,405.72,0
48,4,12,15,5,43,248.3,405.72,0
49,4,12,3,2,21,248.3,405.72,0
50,4,11,0,0,14,248.3,405.72,0
51,4,12,0,0,17,248.3,405.72,0
52,4,10,0,1,10,248.3,405.72,0
53,4,11,4,1,20,248.3,405.72,0
54,4,12,0,5,10,248.3,405.72,0
55,4,11,5,1,13,248.3,405.72,0
56,4,12,2,4,4,248.3,405.72,0
57,4,11,0,0,12,248.3,405.72,0
58,4,12,0,1,30,248.3,405.72,0
59,4,11,0,2,26,248.3,405.72,0
60,4,12,8,4,11,248.3,405.72,0
61,4,11,0,3,14,248.3,405.72,0
62,4,13,0,3,7,248.3,405.72,0
63,4,12,0,1,49,248.3,405.72,0
64,4,12,10,4,21,248.3,405.72,0
65,4,11,0,1,12,248.3,405.72,0
66,4,10,0,0,8,248.3,405.72,0
67,4,10,0,0,9,248.3,405.72,0
68,4,11,0,3,22,248.3,405.72,0
69,4,11,0,2,15,248.3,405.72,0
70,4,12,0,0,59,248.3,405.72,0
71,4,11,0,1,3,248.3,405.72,0
72,4,11,13,1,6,248.3,405.72,0
73,4,13,0,5,19,248.3,405.72,0
74,4,10,0,0,16,248.3,405.72,0
75,4,10,0,0,6,248.3,405.72,0
76,4,11,0,5,50,248.3,405.72,0
77,4,12,0,2,25,248.3,405.72,0
78,4,12,9,3,11,248.3,405.72,0
79,4,11,0,4,6,248.3,405.72,0
